concessionaria;n_ai_ni;data_da_infracao;trecho;dispositivo_infringido;decisao;valor_da_penalidade;pagamento;data;status
FCA;AI/014/URMG/2017;11/05/2017;Trecho Sete Lagoas - Corinto e Ramal de Caisete;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;260800;0;;EM TRÂMITE
MRS;278/2017/COFERSP/GECOF/SUFER/ANTT;23/05/2017;Valongo (Pátio de Santos) - Conceiçãozinha Divisa Perequê - Triangulo de Areais - Ramal das fábricas;RTF, artigo 54, inciso IV;Advertência;0;44153;;ARQUIVADO-ADVERTIDO
RMS;AI/023/URRS/2017;25/05/2017;Maringá/PR- Ourinhos/SP;Inciso I, Art. 4º, RTF;Multa;50000;0;;EM TRÂMITE
FCA;AI/17/2017/COFER/URMG;29/05/2017;Pirapora - Corinto - General Carneiro;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;260800;0;;EM TRÂMITE
FCA;AI/011/2017/COFER-URMG/GECOF/SUFER/ANTT;07/06/2017;Divinópolis - Eng. Bhering - Três Corações - Varginha;Inciso XIV, Item 9.1, Cláusula Nona, Contrato de Concessão;Multa;260800;0;;EM TRÂMITE
FCA;AI/020/URMG/2017;08/06/2017;Três Rios - Recreio;Contrato de Concessão, Cláusula 9ª, item 9.1, inciso XV;Multa;260800;0;;EM TRÂMITE
FCA;AI/282/URSP/2017;12/06/2017;Perequê / Boa Vista Velha / Pátio de Pirapitingui;Resolução ANTT nº 1.573/2006, artigo 4º, inciso III, alínea "d";Multa;28566,66;0;;EM TRÂMITE
RMO;AI/009/2017/GECOF/SUFER/ANTT;12/06/2017;Oficinas e Frota;Contrato de Concessão, Cláusula 9ª, item 9.1, inciso XIV;Multa;323300;0;;EM TRÂMITE
FCA;AI/032/URMG/2017;14/06/2017;São Franscisco - Petrolina e Senhor Bonfim - Campo Formoso;Inciso XV, Item 9.1 Clausula nona do Contrato de Concessão;Advertência;0;0;;ARQUIVADO-ADVERTIDO
FCA;AI/033/URMG/2017;22/06/2017;São Francisco - Petrolina;Inciso I, Art. 4º, RTF;Multa;50000;0;;EM TRÂMITE
